master_id,who,Cohort,Cohort_Var_Name,Full_Description,Cohort_Var_Description,Consensus Category,Test Categories
647,BJD,CaPS,c5q51fsittingtalking,[c5 self completion quest q51f] how likely are you to fall asleep sitting talking to someone? ,[c5 self completion quest q51f] how likely are you to fall asleep sitting talking to someone? ,"['Sleep Latency and Waking', 'Daytime Sleepiness']",['No Specific Test']
651,BJD,CaPS,c5q46minutestosleep,[c5 self completion quest q46] approximately how many minutes does it usually take you to fall asleep?,[c5 self completion quest q46] approximately how many minutes does it usually take you to fall asleep?,['Sleep Latency and Waking'],['No Specific Test']
655,BJD,CaPS,c5q41awarenessofsnoring,[c5 self completion quest q41] how often have you had the feeling of awareness that you have been snoring? ,[c5 self completion quest q41] how often have you had the feeling of awareness that you have been snoring? ,['Sleep Disorders'],['No Specific Test']
663,BJD,CaPS,c5q51gafterlunch,[c5 self completion quest q51g] how likely are you to fall asleep sitting quietly after lunch without alcohol? ,[c5 self completion quest q51g] how likely are you to fall asleep sitting quietly after lunch without alcohol? ,['Daytime Sleepiness'],['No Specific Test']
665,BJD,CaPS,c3wakeuptrafficnoise,[c3 lifestyle quest q11c] does traffic noise ever wake you up? ,[c3 lifestyle quest q11c] does traffic noise ever wake you up? ,"['Sleep Environment', 'Sleep Latency and Waking']",['No Specific Test']
673,BJD,CaPS,c3outdoors,[c3 general health q5] have you recently been getting out of the house as much as usual? ,[c3 general health q5] have you recently been getting out of the house as much as usual? ,['Uncategorized'],['No Specific Test']
675,BJD,CaPS,c5q51bwatchingtv,[c5 self completion quest q51b] how likely are you to fall asleep watching tv? ,[c5 self completion quest q51b] how likely are you to fall asleep watching tv? ,['Daytime Sleepiness'],['No Specific Test']
678,BJD,CaPS,c5q51asittingandreading,[c5 self completion quest q51a] how likely are you to fall asleep sitting and reading? ,[c5 self completion quest q51a] how likely are you to fall asleep sitting and reading? ,['Daytime Sleepiness'],['No Specific Test']
680,BJD,CaPS,c5q51dpassengerinacar,[c5 self completion quest q51d] how likely are you to fall asleep as a passenger in a car? ,[c5 self completion quest q51d] how likely are you to fall asleep as a passenger in a car? ,"['Daytime Sleepiness', 'Sleep Environment']",['No Specific Test']
713,BJD,CaPS,c5q51ctheatreormeeting,[c5 self completion quest q51c] how likely are you to fall asleep in a theatre or meeting? ,[c5 self completion quest q51c] how likely are you to fall asleep in a theatre or meeting? ,"['Daytime Sleepiness', 'Sleep Environment']",['No Specific Test']
717,BJD,CaPS,c5q51htrafficlights,[c5 self completion quest q51h] how likely are you to fall asleep in a car stopped at traffic lights? ,[c5 self completion quest q51h] how likely are you to fall asleep in a car stopped at traffic lights? ,"['Daytime Sleepiness', 'Sleep Environment']",['No Specific Test']
719,BJD,CaPS,c5q51elyingdown,[c5 self completion quest q51e] how likely are you to fall asleep lying down to rest in the afternoon? ,[c5 self completion quest q51e] how likely are you to fall asleep lying down to rest in the afternoon? ,['Daytime Sleepiness'],['No Specific Test']
721,BJD,CaPS,c5q43wokengaspingorchoking,[c5 self completion quest q43] how often have you wakened suddenly with the feeling of gasping  or choking? ,[c5 self completion quest q43] how often have you wakened suddenly with the feeling of gasping  or choking? ,"['Sleep Difficulty', 'Sleep Latency and Waking']",['No Specific Test']
734,BJD,CaPS,c3abletoconcentrate,[c3 general health q1] have you recently been able to concentrate on whatever youre doing? ,[c3 general health q1] have you recently been able to concentrate on whatever youre doing? ,['Uncategorized'],['No Specific Test']
736,BJD,CaPS,c5q48nap,[c5 self completion quest q48] how often do you take a nap during the day or early evening? ,[c5 self completion quest q48] how often do you take a nap during the day or early evening? ,['Daytime Sleepiness'],['No Specific Test']
2,BJD,CFAS,v64_h2,Does s/he have difficulty in getting to sleep?,s. has difficulty in sleeping?,['Sleep Difficulty'],['No Specific Test']
6,BJD,CFAS,v84_a0,Trouble sleeping recently?,trouble sleeping?,['Sleep Difficulty'],['No Specific Test']
12,BJD,CFAS,v113_c12,Have you had any trouble sleeping recently?,any trouble sleeping?,['Sleep Difficulty'],['No Specific Test']
23,BJD,CFAS,v103_h2,Is that a problem now? (If YES: How bad is it?),difficulty with sleeping now?,['Sleep Difficulty'],['No Specific Test']
29,BJD,CFAS,v102_h2,Did s/he have difficulty sleeping at the start? (If YES: How bad was that),onset. difficulty sleeping?,['Sleep Difficulty'],['No Specific Test']
37,BJD,CFAS,v231_h2,Does s/he take alcohol to get to sleep?,take alcohol to sleep?,"['Sleep Medications and Aids', 'Alcohol Related']",['No Specific Test']
66,BJD,CFAS,v64_h6,Does s/he have difficulty in getting to sleep?,s has difficulty getting to sleep?,"['Sleep Difficulty', 'Sleep Latency and Waking']",['No Specific Test']
90,BJD,CFAS,v89_a0,Sleep interrupted,sleep interrupted?,['Sleep Difficulty'],['No Specific Test']
103,BJD,CFAS,v118_s0,Do you have problems staying asleep or falling asleep?,type of sleep problem?,['Sleep Difficulty'],['No Specific Test']
122,BJD,CFAS,v66_h6,"Does s/he wake early in the morning, before his/her normal time, and not get back to sleep again?",s restless at night?,['Sleep Difficulty'],['No Specific Test']
140,BJD,CFAS,v102_h6,Did s/he have difficulty sleeping at the start? (If YES: How bad was that),s difficulty sleeping at beginning?,['Sleep Difficulty'],['No Specific Test']
170,BJD,CFAS,v87_a0,Rate - insomnia,o-rate insomnia,['Sleep Disorders'],['No Specific Test']
172,BJD,CFAS,v117_s0,Do you ever have any problems sleeping? (PROMPT: How often?),problems sleeping?,['Sleep Difficulty'],['No Specific Test']
175,BJD,CFAS,v103_h6,Is that a problem now? (If YES: How bad is it?),sleeping a problem now?,['Sleep Difficulty'],['No Specific Test']
