"","ui","rootSource","uri","name"
"1765","C0557224","SNOMEDCT_US","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C0557224","Sleeping at friends home"
"1766","C0182340","UMD","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C0182340","Analyzers, Physiologic, Somnography"
"1767","C1970020","MTH","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C1970020","RESTLESS LEGS SYNDROME, SUSCEPTIBILITY TO, 6 (finding)"
"1768","C1847399","MSH","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C1847399","Faciomandibular myoclonus, nocturnal"
"1769","C3843960","MTH","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C3843960","Have trouble sleeping"
"1770","C5424541","MTH","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C5424541","During the past 3Mo, how often have you used sedatives or sleeping pills"
"1771","C5426045","MTH","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C5426045","During the past 3Mo, how often have you used sedatives or sleeping pills:Find:3Mo:^Patient:Ord"
"1772","C2984071","NCI","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C2984071","Sleeping Well"
"1773","C3641574","NCI","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C3641574","ODI v2.1a - Sleeping"
"1774","C4331889","NCI","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C4331889","Bothered by Difficulty Sleeping"
"1775","C5235754","NCI","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C5235754","HCS - When You Are Sleeping"
"1776","C4329775","NCI","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C4329775","EPDS - Unhappy Had Difficulty Sleeping"
"1777","C3639655","NCI","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C3639655","NPI - Difficulty Sleeping"
"1778","C3827391","NCI","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C3827391","FAMS - I Am Sleeping Well"
"1779","C4330458","NCI","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C4330458","IDS-SR - Sleeping Too Much"
"1780","C3897323","NCI","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C3897323","Trouble Sleeping When in Pain"
